@relation dataset_v3_10_12

@attribute household_key numeric
@attribute products_purchased numeric
@attribute no_of_stores numeric
@attribute no_of_orders numeric
@attribute total_visits numeric
@attribute no_of_national_products numeric
@attribute recency numeric
@attribute weekend_visits numeric
@attribute BrandNationalPercent numeric
@attribute PercentWeekendVisits numeric
@attribute Average_Basket_Size numeric
@attribute AGE_INDEX numeric
@attribute INCOME_INDEX numeric
@attribute HOUSEHOLD_SIZE_INDEX numeric
@attribute total_sales_log numeric
@attribute total_sales_class {Medium,Low,High}

@data
1261,2275,2,213,176,1003,7,52,44,30,10.680751,4,3,2,8.185066,Medium
1263,1880,5,122,108,991,30,38,53,35,15.409836,2,2,1,8.551011,Medium
1264,2355,6,120,111,947,11,40,40,36,19.625,4,2,1,8.735519,Medium
1267,716,3,63,63,604,3,3,84,5,11.365079,2,6,1,7.390083,Low
1268,1028,5,70,61,715,6,24,70,39,14.685714,3,1,4,8.008419,Medium
127,2149,5,163,142,960,1,34,45,24,13.184049,4,3,1,8.272422,Medium
1270,1266,3,73,63,771,7,15,61,24,17.342466,4,2,1,8.14767,Medium
1272,4141,9,255,247,2834,1,68,68,28,16.239216,6,4,2,9.208789,High
1285,2718,6,133,121,1845,3,42,68,35,20.43609,2,3,3,8.510843,Medium
1291,1660,2,103,100,864,5,10,52,10,16.116505,5,4,2,8.098646,Medium
1296,1264,3,80,78,709,4,3,56,4,15.8,6,3,2,7.661259,Low
1297,1083,7,135,116,584,1,31,54,27,8.022222,3,6,1,7.761051,Low
1299,2567,3,145,118,1214,1,46,47,39,17.703448,3,2,4,8.539616,Medium
13,3241,1,175,157,1583,3,41,49,26,18.52,2,6,4,9.077378,High
1300,1286,5,73,68,539,2,11,42,16,17.616438,4,5,4,7.872234,Low
1305,3217,9,338,225,1572,31,58,49,26,9.517751,1,1,2,8.829746,Medium
1306,1557,11,169,148,861,4,52,55,35,9.213018,4,1,1,8.013565,Medium
131,2631,14,346,237,1282,3,64,49,27,7.604046,4,5,2,8.67406,Medium
1316,1562,3,55,51,849,19,11,54,22,28.4,5,4,2,8.220678,Medium
1318,1969,6,70,68,1416,15,56,72,82,28.128571,6,5,2,8.605878,Medium
1321,1203,1,202,178,489,2,46,41,26,5.955446,1,4,2,7.543342,Low
1326,3712,9,281,207,1475,5,57,40,28,13.209964,4,1,1,8.885711,High
133,1684,4,75,70,930,6,24,55,34,22.453333,4,1,2,8.249024,Medium
1333,2718,8,129,123,1891,7,44,70,36,21.069767,4,8,4,8.950254,High
1337,5092,12,202,186,2750,1,49,54,26,25.207921,4,5,4,9.180693,High
134,2356,2,83,74,1124,3,10,48,14,28.385542,5,3,2,8.603609,Medium
1352,1759,5,95,93,1309,1,41,74,44,18.515789,3,6,2,8.337849,Medium
1354,1003,3,75,72,628,2,24,63,33,13.373333,6,2,2,7.762051,Low
1357,1961,4,77,76,190,2,5,10,7,25.467532,5,3,2,7.930731,Medium
